,outcome,prediction
1037,0,0.063490786
1038,0,0.063435987
1039,0,0.063419111
1040,0,0.063278757
1041,0,0.063276179
1042,0,0.063177817
1043,0,0.063139908
1044,0,0.063134223
1045,0,0.063113183
1046,0,0.062992014
1047,0,0.062985159
1048,0,0.062907755
1049,0,0.062846534
1050,0,0.062776409
1051,0,0.062343009
1052,0,0.062330507
1053,0,0.062289622
1054,0,0.062245961
1055,0,0.062183037
1056,0,0.062145073
1057,0,0.062072355
1058,0,0.06205973
1059,0,0.061981775
1060,0,0.061868265
1061,0,0.061766718
1062,0,0.06162468
1063,0,0.061594944
1064,0,0.061532002
1065,0,0.061482899
1066,0,0.06144689
1067,0,0.061430912
1068,0,0.061399024
1069,0,0.06137456
1070,0,0.06137456
1071,0,0.061369918
1072,0,0.061348274
1073,0,0.061345957
1074,0,0.061322059
1075,0,0.061281681
1076,0,0.061190266
1077,0,0.061182052
1078,0,0.061111867
1079,0,0.061050829
1080,0,0.061024442
1081,0,0.06094718
1082,0,0.060925376
1083,0,0.060893323
1084,0,0.06081257
1085,0,0.060753934
1086,0,0.060603052
1087,0,0.060583506
1088,0,0.060549892
1089,0,0.060513478
1090,0,0.060206968
1091,0,0.060191192
1092,0,0.060180165
1093,0,0.060057353
1094,0,0.060029227
1095,0,0.060026731
1096,0,0.060008489
1097,0,0.059992783
1098,0,0.059990086
1099,0,0.059962921
1100,0,0.059845809
1101,0,0.05979266
1102,0,0.059704393
1103,0,0.059680998
1104,0,0.059669469
1105,0,0.059570823
1106,0,0.059569567
1107,0,0.05956246
1108,0,0.059474938
1109,1,0.059434082
1110,0,0.059413321
1111,0,0.059382018
1112,0,0.059309885
1113,0,0.05905031
1114,0,0.058974214
1115,0,0.05891344
1116,0,0.05881409
1117,0,0.058743063
1118,0,0.058717761
1119,0,0.058715146
1120,0,0.058644298
1121,0,0.058559868
1122,0,0.058511622
1123,0,0.058505882
1124,0,0.05848708
1125,0,0.058469065
1126,0,0.058382452
1127,0,0.05835307
1128,0,0.058346599
1129,0,0.058251284
1130,0,0.05821126
1131,0,0.058117483
1132,0,0.058032256
1133,0,0.057997689
1134,0,0.057995956
1135,0,0.057905991
1136,0,0.057872459
1137,0,0.057839591
1138,0,0.05773234
1139,0,0.057658996
1140,0,0.057558466
1141,0,0.057511095
1142,0,0.05747389
1143,0,0.057461377
1144,0,0.057422653
1145,0,0.057371724
1146,1,0.057311725
1147,0,0.057273183
1148,0,0.057228822
1149,0,0.057176154
1150,0,0.057173152
1151,0,0.057154831
1152,0,0.057094775
1153,0,0.057079274
1154,0,0.057040639
1155,0,0.057029333
1156,0,0.057019852
1157,0,0.056962773
1158,0,0.056949336
1159,0,0.056833219
1160,0,0.05678685
1161,0,0.056771424
1162,0,0.056751892
1163,0,0.056725275
1164,0,0.056658827
1165,0,0.056657799
1166,0,0.056573633
1167,0,0.056530561
1168,0,0.056529466
1169,0,0.056431048
1170,0,0.056353644
1171,0,0.056334853
1172,0,0.05630061
1173,0,0.056277104
1174,0,0.056231435
1175,0,0.056220099
1176,0,0.056140378
1177,0,0.056123558
1178,0,0.056038354
1179,0,0.055880092
1180,0,0.055828396
1181,0,0.055812161
1182,0,0.055797081
1183,0,0.055710103
1184,0,0.055677917
1185,0,0.055600837
1186,0,0.055585913
1187,0,0.055585738
1188,0,0.055561733
1189,0,0.055494193
1190,0,0.055467069
1191,0,0.055431094
